title,author,description,isbn,image,available
A Critical Bibliography of Books Devoted to Anatole France (1903- 1935 Inclusive).,Gordon Norton Ray,No description available.,ISBN-3446026698,http://books.google.com/books/content?id=5Tt9S9ddyP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Atlantic Reporter,Unknown Author,No description available.,ISBN-2220569116,http://books.google.com/books/content?id=a_8peXoHAgsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Language,"George Melville Bolling, Bernard Bloch","Proceedings of the annual meeting of the Society in v. 1-11, 1925-34. After 1934 they appear in Its Bulletin.",ISBN-1392731536,http://books.google.com/books/content?id=P20KAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence,Blay Whitby,"Tomorrow begins right here as we embark on an enthralling and jargon-free journey into the world of computers and the inner recesses of the human mind. Readers encounter everything from the nanotechnology used to make insect-like robots, to the computers that perform surgery and, reminiscent of film.",9781780741291,http://books.google.com/books/content?id=0Bq9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
New Register Book of Shipping,Unknown Author,No description available.,ISBN-9088937857,http://books.google.com/books/content?id=c0o0AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Preacher and Homiletic Monthly,Unknown Author,No description available.,ISBN-2052517936,http://books.google.com/books/content?id=NLy4_TYroFYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Chick Book,Reliable Poultry Journal Publishing Company,No description available.,ISBN-6090311826,http://books.google.com/books/content?id=_UY9AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Fundamentals of Artificial Intelligence,K.R. Chowdhary,"Fundamentals of Artificial Intelligence introduces the foundations of present day AI and provides coverage to recent developments in AI such as Constraint Satisfaction Problems, Adversarial Search and Game Theory, Statistical Learning Theory, Automated Planning, Intelligent Agents, Information Retri.",9788132239727,http://books.google.com/books/content?id=8SfbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Measurement Techniques,Instrument Society of America,No description available.,ISBN-7828383488,http://books.google.com/books/content?id=oW4C-CCxH_UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The Hitchhiker’s Guide to AI,Arthur Goldstuck,"For the past decade, Arthur Goldstuck has had a front-row seat to witness the remarkable rise of AI across all sectors of business and society. As generative AI becomes a household phrase and sparks hopes and fears of machines augmenting or replacing human beings, this guide offers an invaluable ove.",9781770108974,http://books.google.com/books/content?id=BGbjEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A-Z On Artificial Intelligence,Gregory Kregg,"Are you curious about how Artificial Intelligence is transforming the world around us? A-Z On Artificial Intelligence: Learn the Essentials of AI, Deep Learning, Robotics, and Ethical Considerations for Beginners and Experts Alike is your all-in-one roadmap to the most powerful technology of our tim.",9798282361841,http://books.google.com/books/content?id=QCJf0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Pacific Rural Press and California Farmer,Unknown Author,No description available.,ISBN-2979661891,http://books.google.com/books/content?id=-b7jQGVtZ-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence,Chris Baker,Buy the paperback version for this book and get the kindle book version for free Everything you need to understand and implement Artificial Intelligence! Learn the potential consequences of Artificial Intelligence and how it will shape the world around us in the coming decades! Become familiar with .,1692995707,http://books.google.com/books/content?id=EN6yyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI For All,Shawn Schuster,"This book will revolutionize your perspective on artificial intelligence by breaking down the misconceptions surrounding AI and highlighting the ways in which it can help individuals and businesses alike. From healthcare to finance, education to manufacturing, this book illustrates how AI can improv.",1961432005,http://books.google.com/books/content?id=q6TtzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"Libro de Las Generaciones (Ms. 17633, B.N. Madrid) ; And, The Book of Yashar (English Anonymous Translation)",Moshe Lazar,No description available.,ISBN-5476584833,http://books.google.com/books/content?id=L_98AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Air Transportation,Unknown Author,No description available.,ISBN-2554844703,http://books.google.com/books/content?id=OnJoM0s545oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Hand-book on Die-castings,Edgar Norman Dollin,No description available.,ISBN-3441458799,http://books.google.com/books/content?id=eDcxAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Ultimate Modern Guide to Artificial Intelligence,Enamul Haque,"This book is your ultimate guide to understanding the revolutionary technology of Artificial Intelligence (AI). This book covers everything from the basics of AI to its profound impact on various industries, such as healthcare, transportation, banking, and entertainment. You will discover the endles.",1447805313,http://books.google.com/books/content?id=eEy6zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Chemical News and Journal of Industrial Science,Unknown Author,No description available.,ISBN-1244279194,http://books.google.com/books/content?id=bSTOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Herdsman's Book,"Kenneth N. Russell, Stephen Williams",No description available.,ISBN-7243054014,http://books.google.com/books/content?id=-e9FAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Talleyrand,Charlotte Blennerhassett,No description available.,ISBN-3151193462,http://books.google.com/books/content?id=i71Ym6P3E-kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Henri de Régnier and His Psychological Novel,Myrtle Evangeline Violet,No description available.,ISBN-3460033720,http://books.google.com/books/content?id=MI_W9ra-TnkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Railroad Telegrapher,Unknown Author,No description available.,ISBN-9912195189,http://books.google.com/books/content?id=IAE1AQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,Neil Wilkins,"So, what is the deal with intelligent machines? Will they soon decide on things such as copyright infringement? How about self-driving trucks and cars?.",1647483670,http://books.google.com/books/content?id=wsU3zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
AI by Design,Catriona Campbell,"This book introduces the reader to Artificial Intelligence and its importance to our future. Campbell uses behavioural psychology, explores technology, economics, real-life and historical examples to predict five future scenarios with AI. Illustrating through speculative fiction, she describes possi.",9781000554922,http://books.google.com/books/content?id=sd5ZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A Text-book of Human Physiology,Leonard Landois,No description available.,ISBN-2264953342,http://books.google.com/books/content?id=fKsRAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence: 101 Things You Must Know Today About Our Future,Lasse Rouhiainen,Do you wonder what the coming years hold for Artificial Intelligence? Discover how technological breakthroughs will change your world. Are you worried that AI will steal your job? Do you fear you’ll get left behind in the data-driven marketplace? Are you concerned about AI disrupting your life? Digi.,9781982048808,http://books.google.com/books/content?id=P3fSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Compressed Air Magazine,Unknown Author,No description available.,ISBN-4831512861,http://books.google.com/books/content?id=orjmAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Hayek and Human Rights,John C. W. Touchie,"To explain why discussions of human rights are largely absent from the writings of 20th-century German political and economic theorist Friedrich Hayek, Touchie (law, Griffith U., Brisbane, Australia) examines the building blocks of his legal theorizing. Among these are the notions of coercion, the R.",ISBN-5060573334,http://books.google.com/books/content?id=g66DAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Spanish White Book,Spain,"""Photostatic reproductions of 101 documents, together with their official translation by the League of Nations""--Page [6].",ISBN-7339571045,http://books.google.com/books/content?id=EurTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"Pronunciation of English Vowels, 1400-1700",Robert Eugen Zachrisson,No description available.,ISBN-4054654754,http://books.google.com/books/content?id=oV_R2Vo9zdIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Age of AI,"Henry A. Kissinger, Eric Schmidt, Daniel Huttenlocher","THE WAY HUMANS NAVIGATE THE WORLD IS ALTERING, FOREVER. THIS IS YOUR ESSENTIAL AI ROADMAP. AI is revolutionizing how we approach security, economics, order and even knowledge itself. It is changing how we experience reality, and our role within it. Three of our most accomplished and deep thinkers ex.",1529375991,http://books.google.com/books/content?id=a97nzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"2100 Business Books, and Guide to Business Literature",Newark Public Library. Business Branch,No description available.,ISBN-2275149247,http://books.google.com/books/content?id=_xY7AQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Proceedings of the Cambridge Philosophical Society,Unknown Author,No description available.,ISBN-7712466045,http://books.google.com/books/content?id=R1tMZ0NW1xIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Commentary on book I: Attica. Appendix: The pre-Persian temple on the Acropolis,Pausanias,No description available.,ISBN-6901993331,http://books.google.com/books/content?id=VqcNAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Beating Artificial Intelligence,Ryan Baumgartner,"Do you want to understand how AI operates in different areas of your life? Would you like to gain a fair advantage to AI technology and keep up with its rapid development? Have you ever worried that AI might replace your job one day? If your answer is Yes to any of these questions, then keep reading.",1646962826,http://books.google.com/books/content?id=VhBqzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
AI Revealed,Herman Erik,"This book is a guide to navigating the evolving landscape of artificial intelligence. Designed for both novices and seasoned professionals it covers a broad range of topics from fundamental ideas to innovative advancements. Readers will investigate the principles of machine learning, explore the int.",9781501520679,http://books.google.com/books/content?id=2LM0EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Practical Artificial Intelligence,"Kashyap Kompella, Alan Pelz-Sharpe","If you have tried everything imaginable but have never been able to use artificial intelligence to scale your business or enhance your projects, then this could be one of the most important books you have read in years. Do you still find it hard to adopt the whole concept of artificial intelligence .",1686799853,http://books.google.com/books/content?id=i00zyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence,"Eneko Osaba, Esther Villar, Jesús L. Lobo, Ibai Laña","Artificial Intelligence (AI) is widely known as a knowledge field that aims to make computers, robots, or products that mimic the way humans think. In the current scientific community, AI is an intensively studied area composed of multiple branches. Historically, machine learning and optimization ar.",1839623896,http://books.google.com/books/content?id=4fbYzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Advanced Analytics and AI,Tony Boobier,"Be prepared for the arrival of automated decision making Once thought of as science fiction, major corporations are already beginning to use cognitive systems to assist in providing wealth advice and also in medication treatment. The use of Cognitive Analytics/Artificial Intelligence (AI) Systems is.",9781119390305,http://books.google.com/books/content?id=Z6RUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
AI in Action,Artificial G Intelligence,"Artificial Intelligence (AI) is a rapidly growing field that is transforming the way we live and work. This overview of AI covers key developments and applications, including machine learning, deep learning, computer vision, robotics, and natural language processing. The evolution of AI is traced fr.",9798375431109,http://books.google.com/books/content?id=3kmkzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Road to Conscious Machines,Michael Wooldridge,"'A terrific book - essential reading for everyone seeking to make sense of Artificial Intelligence' Professor Sir Adrian Smith, Director and Chief Executive of the Alan Turing Institute In this myth-busting guide to AI past and present, one of the world's leading researchers shows why our fears for .",9780241333914,http://books.google.com/books/content?id=nnmtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Modern Farmer and Busy Bee,Unknown Author,No description available.,ISBN-5899795945,http://books.google.com/books/content?id=_2LlW3iCXPIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
AI Unlocked: A Beginner’s Guide to Understanding and Exploring Artificial Intelligence,Dizzy Davidson,"Do you find yourself puzzled by the complexities of artificial intelligence? Are you eager to understand how AI is transforming our world but don’t know where to start? Do you want to explore the fascinating world of AI without feeling overwhelmed? Yes, you can master the basics of AI and unlock its.",ISBN-7129367101,http://books.google.com/books/content?id=E9kVEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Percheron Stud Book of America,Percheron Horse Association of America,No description available.,ISBN-9236363239,http://books.google.com/books/content?id=wscOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Foundations and Future of Artificial Intelligence,Beyond Ai,"Artificial Intelligence (AI) is rapidly transforming our world, ushering in a new era of technological advancement that promises to revolutionize every aspect of our lives. From healthcare to finance, from education to entertainment, AI is reshaping industries, driving innovation, and offering unpre.",9798333166975,http://books.google.com/books/content?id=qvXT0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Government of China Under Mongolian Rule,David M. Farquhar,No description available.,ISBN-2899374777,http://books.google.com/books/content?id=uFNuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence,Kevin Warwick,"'if AI is outside your field, or you know something of the subject and would like to know more then Artificial Intelligence: The Basics is a brilliant primer.' - Nick Smith, Engineering and Technology Magazine November 2011 Artificial Intelligence: The Basics is a concise and cutting-edge introducti.",0415564832,http://books.google.com/books/content?id=yLW7bwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Mastering AI (Artificial Intelligence),Cybellium,"In a world where artificial intelligence is rapidly reshaping every aspect of our lives, ""Mastering AI"" serves as your definitive guide to understanding and harnessing this transformative technology. This comprehensive manual cuts through the hype, demystifying AI's complexities, and making it acces.",9798397525329,http://books.google.com/books/content?id=_sjKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Black Books Bulletin,Unknown Author,No description available.,ISBN-9564110900,http://books.google.com/books/content?id=o6_fAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Understanding Artificial Intelligence,Remon Geyser,No description available.,9798308777007,http://books.google.com/books/content?id=KRls0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Subject Guide to Children's Books in Print,Unknown Author,No description available.,ISBN-1052633675,http://books.google.com/books/content?id=30jpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Air Power Historian,Unknown Author,No description available.,ISBN-3951692001,http://books.google.com/books/content?id=zJBQTbe-Dw0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"Publishers' Circular and General Record of British and Foreign Literature, and Booksellers' Record",Unknown Author,No description available.,ISBN-1301279009,http://books.google.com/books/content?id=tUAKDhps0r4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"The Handbook of Artificial Intelligence, Volume 2","Avron Barr, Edward A. Feigenbaum",No description available.,ISBN-6679083416,,True
The Oxford and Cambridge French Grammar ...,Hunt,No description available.,ISBN-5135015876,http://books.google.com/books/content?id=DEEyAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Metals Reference Book,Colin James Smithells,No description available.,ISBN-9467844563,http://books.google.com/books/content?id=QKJTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The Wellington College French Grammar,"H. W. Eve, F. de Baudiss",No description available.,ISBN-9203535865,http://books.google.com/books/content?id=LZ-d3ByJhBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The Executive Guide to Artificial Intelligence,Andrew Burgess,"This book takes a pragmatic and hype–free approach to explaining artificial intelligence and how it can be utilised by businesses today. At the core of the book is a framework, developed by the author, which describes in non–technical language the eight core capabilities of Artificial Intelligence (.",9783319638201,http://books.google.com/books/content?id=avM-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI Crash Course,Hadelin de Ponteves,"This friendly and accessible guide to AI theory and programming in Python requires no maths or data science background. Key Features Roll up your sleeves and start programming AI models No math, data science, or machine learning background required Packed with hands-on examples, illustrations, and c.",1838645357,http://books.google.com/books/content?id=9p0aywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The International Journal of Applied Engineering Education,Unknown Author,No description available.,ISBN-4610280390,http://books.google.com/books/content?id=hMVVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Heating & Air Conditioning Contractor,Unknown Author,No description available.,ISBN-6770027133,http://books.google.com/books/content?id=F7nwzKyfGyoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence and Machine Learning for Business,John Medicine,"Do you want to learn about Artificial Intelligence and Machine Learning and how they are revolutionizing Life, Health Care, Business and Marketing? Do you want apply them to your business? Artificial intelligence technology has become so common that many people do not realize that AI is already a pa.",1079768564,http://books.google.com/books/content?id=nvkwxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Cumulated Index to the Books,Unknown Author,No description available.,ISBN-4088474040,http://books.google.com/books/content?id=2QU0ruA6S60C&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The AI Revolution,ABHIJEET SARKAR,"Discover the transformative power of Artificial Intelligence with The AI Revolution: Understanding Artificial Intelligence in Daily Life, a groundbreaking exploration by visionary author Abhijeet Sarkar. This compelling book demystifies the complexities of AI, shedding light on how it is reshaping i.",9798230942788,http://books.google.com/books/content?id=ziZAEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Modern Gasoline Automobile,Victor Wilfred Pagé,No description available.,ISBN-6339155168,http://books.google.com/books/content?id=0jMuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A History of the Printed Book,Lawrence Counselman Wroth,No description available.,ISBN-3729486395,http://books.google.com/books/content?id=VHrhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The Progressive Course in Reading,"George I. Aldrich, Alexander Forbes",No description available.,ISBN-5273674448,http://books.google.com/books/content?id=hiYXAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
American Monthly Review of Reviews,Albert Shaw,No description available.,ISBN-1891553895,http://books.google.com/books/content?id=S2lDAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI and Machine Learning,Was Rahman,"""This book is grounded in facts rather than opinions. It illustrates and explains using generally accepted knowledge and the author's personal experience. It refrains as far as possible from offering views other experts would take issue with. The goal is to retain a measured, neutral voice on a topi.",9353884411,http://books.google.com/books/content?id=q96UzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The World Almanac and Book of Facts 1997,Robert Famighetti,A reference tool for researching facts and events that occured in the year 1997.,0886878004,http://books.google.com/books/content?id=eA0wAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The British Library general catalogue of printed books to 1975,British Library,No description available.,ISBN-1562800771,http://books.google.com/books/content?id=Z97gAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
A Text-book of physics,William Watson,No description available.,ISBN-3602072506,http://books.google.com/books/content?id=VeNfLG1cs-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Making Sense of AI,Anthony Elliott,"Industrial robots, self-driving cars, customer-service chatbots and Google’s algorithmic predictions have brought the topic of artificial intelligence into public debate. Why is AI the source of such intense controversy and what are its economic, political, social and cultural consequences? Tracing .",9781509548910,http://books.google.com/books/content?id=x51EEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Australian Book Review,Unknown Author,No description available.,ISBN-8336624295,http://books.google.com/books/content?id=KzFYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Smithells Metals Reference Book,"Colin James Smithells, G. B. Brook","A reference book on metals which includes information on isotopes, crystallography, crystal chemistry, gas-metal systems, electron emission, magnetic properties, heat treatment, corrosion control and superplasticity.",ISBN-3378100442,http://books.google.com/books/content?id=DpFTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
A.I. in 2020,Jair Ribeiro,"This book collects the best articles about several artificial intelligence concepts that I have published online during 2020. It is dedicated to anyone interested in Artificial Intelligence and anyone who wants to understand some of the building blocks that form this fascinating technology. Here, yo.",9798590898107,http://books.google.com/books/content?id=-iwXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI and a New World Order,Woldemariam,AI and a New World Order: The Future of Artificial Intelligence CONVERSATIONAL CHAT INFORMATIVE BOOK AI and a New World Order: The Future of Artificial Intelligence by Bard AI and Abebe Gebre Woldemariam examines the profound impact of artificial intelligence (AI) on the future global landscape. It .,9798223571889,http://books.google.com/books/content?id=jYxY0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Explainable Artificial Intelligence: An Introduction to Interpretable Machine Learning,"Uday Kamath, John Liu","This book is written both for readers entering the field, and for practitioners with a background in AI and an interest in developing real-world applications. The book is a great resource for practitioners and researchers in both industry and academia, and the discussed case studies and associated m.",3030833585,http://books.google.com/books/content?id=vOV5zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI in Data Science: Transforming Data into Knowledge,AI GURU,"AI in Data Science: Transforming Data into Knowledge Dive into the captivating world of artificial intelligence with this comprehensive guide, ""AI in Data Science: Unlocking the Future."" This book takes you on a journey from the foundational concepts of AI and data science to the cutting-edge techno.",ISBN-5963932189,http://books.google.com/books/content?id=XpFIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence,Thien-Nam Dinh,"""AI will probably most likely lead to the end of the world, but in the meantime, there'll be great companies."" - Sam Altman Artificial Intelligence: Understanding The Science, Impact, And Future Of A.I, Machine Learning, Neural Networks, And The SingularityFor the curious mind, there is perhaps no m.",1089672616,http://books.google.com/books/content?id=Noh9yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
New Perspectives in Reading Instruction,Albert J. Mazurkiewicz,No description available.,ISBN-5735464377,http://books.google.com/books/content?id=Z3UDAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI Made Easy,Oleksandra Vilkhovyk,"Unlock the world of Artificial Intelligence - no tech degree required! AI Made Easy is the friendly beginner's guide you've been waiting for. This book demystifies neural networks and AI with simple examples and an upbeat tone, empowering total beginners to understand today's AI revolution. Inside, .",9798285503835,http://books.google.com/books/content?id=i1dh0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Catalogue of ... Photographic Books,"American Photographic Publishing Co., Boston",No description available.,ISBN-5358829089,http://books.google.com/books/content?id=FyoaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Human Compatible,Stuart Russell,"""The most important book on AI this year."" --The Guardian ""Mr. Russell's exciting book goes deep, while sparkling with dry witticisms."" --The Wall Street Journal ""The most important book I have read in quite some time"" (Daniel Kahneman); ""A must-read"" (Max Tegmark); ""The book we've all been waiting .",9780525558620,http://books.google.com/books/content?id=M1eFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Reading Teacher,Unknown Author,No description available.,ISBN-4939108502,http://books.google.com/books/content?id=8NArAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Songs from many lands.-book 5. Folksongs of Brazil,Unknown Author,No description available.,ISBN-7968333174,http://books.google.com/books/content?id=vlmuxSbNTREC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence,Chris Baker,Everything you need to understand and implement Artificial Intelligence! Learn the potential consequences of Artificial Intelligence and how it will shape the world around us in the coming decades! Become familiar with how Artificial Intelligence aims to aid human cognitive limitations and how it is.,1914063201,http://books.google.com/books/content?id=40oDzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Advanced Artificial Intelligence,Zhongzhi Shi,"The joint breakthrough of big data, cloud computing and deep learning has made artificial intelligence (AI) the new focus in the international arena. AI is a branch of computer science, developing intelligent machine with imitating, extending and augmenting human intelligence through artificial mean.",9811200874,http://books.google.com/books/content?id=yYzvwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Core List of Books and Journals in Science and Technology,"Russell H. Powell, James R. Powell",No description available.,ISBN-7383101081,http://books.google.com/books/content?id=DhtYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Civil Service Year Book,Unknown Author,No description available.,ISBN-3145305271,http://books.google.com/books/content?id=K7epjHiZlOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"Books and Pamphlets, Including Serials and Contributions to Periodicals",Library of Congress. Copyright Office,No description available.,ISBN-3049687302,http://books.google.com/books/content?id=RjcLAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence for Business Optimization,"Bhuvan Unhelkar, Tad Gonsalves",Artificial Intelligence for Business Optimization: Research and Applications is primarily a business book that discusses the research and associated practical application of Artificial Intelligence (AI) and Machine Learning (ML) in order to achieve Business Optimization (BO).,0367638363,http://books.google.com/books/content?id=00QwzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Air & Space Smithsonian,Unknown Author,No description available.,ISBN-3891694796,http://books.google.com/books/content?id=Gp-s9H2CZ2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"Metal Worker, Plumber and Steam Fitter",Unknown Author,No description available.,ISBN-1294402501,http://books.google.com/books/content?id=2NgfAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The AI Handbook,Pranay Bhute,"Unlock the world of Artificial Intelligence with this comprehensive eBook! Whether you're a student preparing for exams or a professional looking to enhance your skills, this guide covers all the essential concepts of AI. From basic principles to advanced techniques, this book provides clear explana.",9798300925253,http://books.google.com/books/content?id=jGD_0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Iron Age,Unknown Author,No description available.,ISBN-4314893852,http://books.google.com/books/content?id=6l4zlSu4fqIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Education Outlook,Unknown Author,No description available.,ISBN-8198515903,http://books.google.com/books/content?id=UUzyHtdaG4YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Automotive Reference Book,Michigan State Auto School,No description available.,ISBN-4225740550,http://books.google.com/books/content?id=YNXNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Introduction to Artificial Intelligence and Generative AI for Novice,Adam Neural,"Artificial intelligence (AI) is currently one of the most talked-about and significant modern technologies. It is being utilized more frequently across a wide range of businesses to enhance workflows, offer individualized experiences, and even assist in resolving difficult societal problems. Althoug.",1088183743,http://books.google.com/books/content?id=DDQJ0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Introduction to AI: Transforming Businesses with Artificial Intelligence in 2025,AI GURU,"Introduction to AI: Transforming Businesses with Artificial Intelligence in 2025 In a rapidly evolving world, Artificial Intelligence (AI) is no longer a futuristic concept—it's a game-changing reality transforming businesses across the globe. Introduction to AI: Transforming Businesses with Artific.",ISBN-5081527003,http://books.google.com/books/content?id=969HEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Beginners Guide to AI (Artificial Intelligence),"Siim Õunap, Aviva Õunap","The Beginner's Guide to AI is the fun and exciting way to explain what Artificial Intelligence, or AI is, and how it works! Contained within these pages are explanations and examples with vibrant diagrams and use cases, all with the purpose of allowing you to understand AI and in a clear and simple .",9798698682035,http://books.google.com/books/content?id=THUgzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
